win percent,lose percent,wins,loses,nothing
0.3,-3.8,658,15,731
0.3,-3.9,659,14,731
0.3,-4.0,659,14,731
0.3,-4.1,659,12,733
0.3,-4.2,660,11,733
0.3,-4.3,661,10,733
0.3,-4.4,662,8,734
0.3,-4.5,664,6,734
0.3,-4.6,664,6,734
0.3,-4.7,665,5,734
0.3,-4.8,665,5,734
0.3,-4.9,665,5,734
0.3,-5.0,665,4,735
0.3,-5.1,665,4,735
0.3,-5.2,665,4,735
0.3,-5.3,665,4,735
0.3,-5.4,665,4,735
0.3,-5.5,665,4,735
0.3,-5.6,665,4,735
0.3,-5.7,665,4,735
0.3,-5.8,665,4,735
0.3,-5.9,665,3,736
0.3,-6.0,665,3,736
0.3,-6.1,665,3,736
0.3,-6.2,665,3,736
0.3,-6.3,665,3,736
0.3,-6.4,665,3,736
0.3,-6.5,665,2,737
0.3,-6.6,665,2,737
0.3,-6.7,665,2,737
0.3,-6.8,665,2,737
0.3,-6.9,665,2,737
0.3,-7.0,666,1,737
0.3,-7.1,666,1,737
0.3,-7.2,666,1,737
0.3,-7.3,666,1,737
0.3,-7.4,666,0,738
0.4,-0.1,190,843,371
0.4,-0.2,232,769,403
0.4,-0.3,281,674,449
0.4,-0.4,340,569,495
0.4,-0.5,386,468,550
0.4,-0.6,421,379,604
0.4,-0.7,440,315,649
0.4,-0.8,464,266,674
0.4,-0.9,477,226,701
0.4,-1.0,484,192,728
0.4,-1.1,498,167,739
0.4,-1.2,510,140,754
0.4,-1.3,513,125,766
0.4,-1.4,519,110,775
0.4,-1.5,523,100,781
0.4,-1.6,525,91,788
0.4,-1.7,526,79,799
0.4,-1.8,526,73,805
0.4,-1.9,528,65,811
0.4,-2.0,531,57,816
0.4,-2.1,535,51,818
0.4,-2.2,536,48,820
0.4,-2.3,536,45,823
0.4,-2.4,536,40,828
0.4,-2.5,540,33,831
0.4,-2.6,541,29,834
0.4,-2.7,541,27,836
0.4,-2.8,542,23,839
0.4,-2.9,543,22,839
0.4,-3.0,543,22,839
0.4,-3.1,545,19,840
0.4,-3.2,545,18,841
0.4,-3.3,545,18,841
0.4,-3.4,546,17,841
0.4,-3.5,546,16,842
0.4,-3.6,546,15,843
0.4,-3.7,546,15,843
0.4,-3.8,546,15,843
0.4,-3.9,547,14,843
0.4,-4.0,547,14,843
0.4,-4.1,547,12,845
0.4,-4.2,547,11,846
0.4,-4.3,548,10,846
0.4,-4.4,548,8,848
0.4,-4.5,550,6,848
0.4,-4.6,550,6,848
0.4,-4.7,551,5,848
0.4,-4.8,551,5,848
0.4,-4.9,551,5,848
0.4,-5.0,551,4,849
0.4,-5.1,551,4,849
0.4,-5.2,551,4,849
0.4,-5.3,551,4,849
0.4,-5.4,551,4,849
0.4,-5.5,551,4,849
0.4,-5.6,551,4,849
0.4,-5.7,551,4,849
0.4,-5.8,551,4,849
0.4,-5.9,551,3,850
0.4,-6.0,551,3,850
0.4,-6.1,551,3,850
0.4,-6.2,551,3,850
0.4,-6.3,551,3,850
0.4,-6.4,551,3,850
0.4,-6.5,551,2,851
0.4,-6.6,551,2,851
0.4,-6.7,551,2,851
0.4,-6.8,551,2,851
0.4,-6.9,551,2,851
0.4,-7.0,552,1,851
0.4,-7.1,552,1,851
0.4,-7.2,552,1,851
0.4,-7.3,552,1,851
0.4,-7.4,552,0,852
0.5,-0.1,160,843,401
0.5,-0.2,198,769,437
0.5,-0.3,236,674,494
0.5,-0.4,287,569,548
0.5,-0.5,320,468,616
0.5,-0.6,346,379,679
0.5,-0.7,362,315,727
0.5,-0.8,383,266,755
0.5,-0.9,393,226,785
0.5,-1.0,398,192,814
0.5,-1.1,408,167,829
0.5,-1.2,418,140,846
0.5,-1.3,421,125,858
0.5,-1.4,425,110,869
0.5,-1.5,428,100,876
0.5,-1.6,430,91,883
0.5,-1.7,430,79,895
0.5,-1.8,430,73,901
0.5,-1.9,432,65,907
0.5,-2.0,435,57,912
0.5,-2.1,437,51,916
0.5,-2.2,438,48,918
0.5,-2.3,438,45,921
0.5,-2.4,438,40,926
0.5,-2.5,441,33,930
0.5,-2.6,442,29,933
0.5,-2.7,442,27,935
0.5,-2.8,443,23,938
0.5,-2.9,444,22,938
0.5,-3.0,444,22,938
0.5,-3.1,446,19,939
0.5,-3.2,446,18,940
0.5,-3.3,446,18,940
0.5,-3.4,447,17,940
0.5,-3.5,447,16,941
0.5,-3.6,447,15,942
0.5,-3.7,447,15,942
0.5,-3.8,447,15,942
0.5,-3.9,448,14,942
0.5,-4.0,448,14,942
0.5,-4.1,448,12,944
0.5,-4.2,448,11,945
0.5,-4.3,449,10,945
0.5,-4.4,449,8,947
0.5,-4.5,451,6,947
0.5,-4.6,451,6,947
0.5,-4.7,451,5,948
0.5,-4.8,451,5,948
0.5,-4.9,451,5,948
0.5,-5.0,451,4,949
0.5,-5.1,451,4,949
0.5,-5.2,451,4,949
0.5,-5.3,451,4,949
0.5,-5.4,451,4,949
0.5,-5.5,451,4,949
0.5,-5.6,451,4,949
0.5,-5.7,451,4,949
0.5,-5.8,451,4,949
0.5,-5.9,451,3,950
0.5,-6.0,451,3,950
0.5,-6.1,451,3,950
0.5,-6.2,451,3,950
0.5,-6.3,451,3,950
0.5,-6.4,451,3,950
0.5,-6.5,451,2,951
0.5,-6.6,451,2,951
0.5,-6.7,451,2,951
0.5,-6.8,451,2,951
0.5,-6.9,451,2,951
0.5,-7.0,452,1,951
0.5,-7.1,452,1,951
0.5,-7.2,452,1,951
0.5,-7.3,452,1,951
0.5,-7.4,452,0,952
0.6,-0.1,142,843,419
0.6,-0.2,172,769,463
0.6,-0.3,206,674,524
0.6,-0.4,246,569,589
0.6,-0.5,270,468,666
0.6,-0.6,288,379,737
0.6,-0.7,302,315,787
0.6,-0.8,319,266,819
0.6,-0.9,327,226,851
0.6,-1.0,330,192,882
0.6,-1.1,338,167,899
0.6,-1.2,346,140,918
0.6,-1.3,349,125,930
0.6,-1.4,352,110,942
0.6,-1.5,355,100,949
0.6,-1.6,357,91,956
0.6,-1.7,357,79,968
0.6,-1.8,357,73,974
0.6,-1.9,359,65,980
0.6,-2.0,362,57,985
0.6,-2.1,364,51,989
0.6,-2.2,365,48,991
0.6,-2.3,365,45,994
0.6,-2.4,365,40,999
0.6,-2.5,368,33,1003
0.6,-2.6,369,29,1006
0.6,-2.7,369,27,1008
0.6,-2.8,369,23,1012
0.6,-2.9,370,22,1012
0.6,-3.0,370,22,1012
0.6,-3.1,372,19,1013
0.6,-3.2,372,18,1014
0.6,-3.3,372,18,1014
0.6,-3.4,373,17,1014
0.6,-3.5,373,16,1015
0.6,-3.6,373,15,1016
0.6,-3.7,373,15,1016
0.6,-3.8,373,15,1016
0.6,-3.9,374,14,1016
0.6,-4.0,374,14,1016
0.6,-4.1,374,12,1018
0.6,-4.2,374,11,1019
0.6,-4.3,375,10,1019
0.6,-4.4,375,8,1021
0.6,-4.5,377,6,1021
0.6,-4.6,377,6,1021
0.6,-4.7,377,5,1022
0.6,-4.8,377,5,1022
0.6,-4.9,377,5,1022
0.6,-5.0,377,4,1023
0.6,-5.1,377,4,1023
0.6,-5.2,377,4,1023
0.6,-5.3,377,4,1023
0.6,-5.4,377,4,1023
0.6,-5.5,377,4,1023
0.6,-5.6,377,4,1023
0.6,-5.7,377,4,1023
0.6,-5.8,377,4,1023
0.6,-5.9,377,3,1024
0.6,-6.0,377,3,1024
0.6,-6.1,377,3,1024
0.6,-6.2,377,3,1024
0.6,-6.3,377,3,1024
0.6,-6.4,377,3,1024
0.6,-6.5,377,2,1025
0.6,-6.6,377,2,1025
0.6,-6.7,377,2,1025
0.6,-6.8,377,2,1025
0.6,-6.9,377,2,1025
0.6,-7.0,378,1,1025
0.6,-7.1,378,1,1025
0.6,-7.2,378,1,1025
0.6,-7.3,378,1,1025
0.6,-7.4,378,0,1026
0.7,-0.1,126,843,435
0.7,-0.2,151,769,484
0.7,-0.3,172,674,558
0.7,-0.4,201,569,634
0.7,-0.5,221,468,715
0.7,-0.6,234,379,791
0.7,-0.7,246,315,843
0.7,-0.8,260,266,878
0.7,-0.9,268,226,910
0.7,-1.0,271,192,941
0.7,-1.1,278,167,959
0.7,-1.2,284,140,980
0.7,-1.3,287,125,992
0.7,-1.4,290,110,1004
0.7,-1.5,292,100,1012
0.7,-1.6,294,91,1019
0.7,-1.7,294,79,1031
0.7,-1.8,294,73,1037
0.7,-1.9,296,65,1043
0.7,-2.0,298,57,1049
0.7,-2.1,300,51,1053
0.7,-2.2,301,48,1055
0.7,-2.3,301,45,1058
0.7,-2.4,301,40,1063
0.7,-2.5,304,33,1067
0.7,-2.6,305,29,1070
0.7,-2.7,305,27,1072
0.7,-2.8,305,23,1076
0.7,-2.9,306,22,1076
0.7,-3.0,306,22,1076
0.7,-3.1,308,19,1077
0.7,-3.2,308,18,1078
0.7,-3.3,308,18,1078
0.7,-3.4,309,17,1078
0.7,-3.5,309,16,1079
0.7,-3.6,309,15,1080
0.7,-3.7,309,15,1080
0.7,-3.8,309,15,1080
0.7,-3.9,310,14,1080
0.7,-4.0,310,14,1080
0.7,-4.1,310,12,1082
0.7,-4.2,310,11,1083
0.7,-4.3,311,10,1083
0.7,-4.4,311,8,1085
0.7,-4.5,312,6,1086
0.7,-4.6,312,6,1086
0.7,-4.7,312,5,1087
0.7,-4.8,312,5,1087
0.7,-4.9,312,5,1087
0.7,-5.0,312,4,1088
0.7,-5.1,312,4,1088
0.7,-5.2,312,4,1088
0.7,-5.3,312,4,1088
0.7,-5.4,312,4,1088
0.7,-5.5,312,4,1088
0.7,-5.6,312,4,1088
0.7,-5.7,312,4,1088
0.7,-5.8,312,4,1088
0.7,-5.9,312,3,1089
0.7,-6.0,312,3,1089
0.7,-6.1,312,3,1089
0.7,-6.2,312,3,1089
0.7,-6.3,312,3,1089
0.7,-6.4,312,3,1089
0.7,-6.5,312,2,1090
0.7,-6.6,312,2,1090
0.7,-6.7,312,2,1090
0.7,-6.8,312,2,1090
0.7,-6.9,312,2,1090
0.7,-7.0,313,1,1090
0.7,-7.1,313,1,1090
0.7,-7.2,313,1,1090
0.7,-7.3,313,1,1090
0.7,-7.4,313,0,1091
0.8,-0.1,111,843,450
0.8,-0.2,130,769,505
0.8,-0.3,150,674,580
0.8,-0.4,172,569,663
0.8,-0.5,188,468,748
0.8,-0.6,197,379,828
0.8,-0.7,209,315,880
0.8,-0.8,220,266,918
0.8,-0.9,226,226,952
0.8,-1.0,228,192,984
0.8,-1.1,234,167,1003
0.8,-1.2,240,140,1024
0.8,-1.3,241,125,1038
0.8,-1.4,244,110,1050
0.8,-1.5,246,100,1058
0.8,-1.6,248,91,1065
0.8,-1.7,248,79,1077
0.8,-1.8,248,73,1083
0.8,-1.9,250,65,1089
0.8,-2.0,252,57,1095
0.8,-2.1,254,51,1099
0.8,-2.2,255,48,1101
0.8,-2.3,255,45,1104
0.8,-2.4,255,40,1109
0.8,-2.5,257,33,1114
0.8,-2.6,258,29,1117
0.8,-2.7,258,27,1119
0.8,-2.8,258,23,1123
0.8,-2.9,259,22,1123
0.8,-3.0,259,22,1123
0.8,-3.1,261,19,1124
0.8,-3.2,261,18,1125
0.8,-3.3,261,18,1125
0.8,-3.4,262,17,1125
0.8,-3.5,262,16,1126
0.8,-3.6,262,15,1127
0.8,-3.7,262,15,1127
0.8,-3.8,262,15,1127
0.8,-3.9,263,14,1127
0.8,-4.0,263,14,1127
0.8,-4.1,263,12,1129
0.8,-4.2,263,11,1130
0.8,-4.3,264,10,1130
0.8,-4.4,264,8,1132
0.8,-4.5,265,6,1133
0.8,-4.6,265,6,1133
0.8,-4.7,265,5,1134
0.8,-4.8,265,5,1134
0.8,-4.9,265,5,1134
0.8,-5.0,265,4,1135
0.8,-5.1,265,4,1135
0.8,-5.2,265,4,1135
0.8,-5.3,265,4,1135
0.8,-5.4,265,4,1135
0.8,-5.5,265,4,1135
0.8,-5.6,265,4,1135
0.8,-5.7,265,4,1135
0.8,-5.8,265,4,1135
0.8,-5.9,265,3,1136
0.8,-6.0,265,3,1136
0.8,-6.1,265,3,1136
0.8,-6.2,265,3,1136
0.8,-6.3,265,3,1136
0.8,-6.4,265,3,1136
0.8,-6.5,265,2,1137
0.8,-6.6,265,2,1137
0.8,-6.7,265,2,1137
0.8,-6.8,265,2,1137
0.8,-6.9,265,2,1137
0.8,-7.0,266,1,1137
0.8,-7.1,266,1,1137
0.8,-7.2,266,1,1137
0.8,-7.3,266,1,1137
0.8,-7.4,266,0,1138
0.9,-0.1,94,843,467
0.9,-0.2,111,769,524
0.9,-0.3,130,674,600
0.9,-0.4,149,569,686
0.9,-0.5,162,468,774
0.9,-0.6,169,379,856
0.9,-0.7,175,315,914
0.9,-0.8,185,266,953
0.9,-0.9,189,226,989
0.9,-1.0,191,192,1021
0.9,-1.1,197,167,1040
0.9,-1.2,200,140,1064
0.9,-1.3,201,125,1078
0.9,-1.4,204,110,1090
0.9,-1.5,206,100,1098
0.9,-1.6,207,91,1106
0.9,-1.7,207,79,1118
0.9,-1.8,207,73,1124
0.9,-1.9,209,65,1130
0.9,-2.0,210,57,1137
0.9,-2.1,212,51,1141
0.9,-2.2,213,48,1143
0.9,-2.3,213,45,1146
0.9,-2.4,213,40,1151
0.9,-2.5,214,33,1157
0.9,-2.6,215,29,1160
0.9,-2.7,215,27,1162
0.9,-2.8,215,23,1166
0.9,-2.9,216,22,1166
0.9,-3.0,216,22,1166
0.9,-3.1,218,19,1167
0.9,-3.2,218,18,1168
0.9,-3.3,218,18,1168
0.9,-3.4,219,17,1168
0.9,-3.5,219,16,1169
0.9,-3.6,219,15,1170
0.9,-3.7,219,15,1170
0.9,-3.8,219,15,1170
